from_node_id,to_node_id,vehicle,Ti,Tj
0,24,v0,0.0,25.0
4,23,v0,699.0,779.0
7,8,v0,169.0,236.0
8,4,v0,236.0,699.0
20,7,v0,92.0,169.0
23,0,v0,779.0,0.0
24,20,v0,25.0,92.0
0,3,v1,0.0,25.0
1,0,v1,953.0,0.0
3,5,v1,25.0,94.0
5,14,v1,94.0,541.0
14,22,v1,541.0,776.0
21,1,v1,888.0,953.0
22,21,v1,776.0,888.0
0,17,v2,0.0,75.0
9,0,v2,499.0,0.0
13,18,v2,139.0,202.0
17,13,v2,75.0,139.0
18,9,v2,202.0,499.0
0,15,v3,0.0,362.0
10,12,v3,424.0,617.0
12,26,v3,617.0,679.0
15,10,v3,362.0,424.0
26,0,v3,679.0,0.0
0,25,v4,0.0,142.0
2,0,v4,802.0,0.0
19,2,v4,244.0,802.0
25,19,v4,142.0,244.0
0,11,v5,0.0,420.0
6,0,v5,580.0,0.0
11,16,v5,420.0,486.0
16,6,v5,486.0,580.0
